stateabb,countyname,statefips,countyfips,ruralcode,persistentpov,active_md_nf17,active_md_nf16,active_md_nf15,active_md_nf14,active_md_nf13,active_md_nf12,active_md_nf11,active_md_nf10,active_md_nf05,active_md_nf00,active_md_nf90,active_md_nf80,active_md_nf70,active_md_nf60,genprac17,genprac15,genprac10,dfammed17,dfammed15,dfammed10,intmed17,intmed15,intmed10,ped17,ped15,ped10,obgyn17,obgyn15,obgyn10,psych_pc17,psych_pc15,psych_pc10,tothosp17,tothosp15,tothosp10,prev_stays16,prev_stays15,prev_stays14,prev_stays13,prev_stays12,rurclin18,rurclin17,rurclin16,rurclin15,rurclin14,rurclin13,rurclin12,rurclin11,rurclin10,nhsc_sites19,nhsc_sites18,nhsc_sites17,nhsc_sites16,nhsc_sites15,nhsc_wpc19,nhsc_wpc18,nhsc_wpc17,nhsc_wpc16,nhsc_wpc15,nhsc_wpc14,nhsc_wpc13,nhsc_wmh19,nhsc_wmh18,nhsc_wmh17,nhsc_wmh16,nhsc_wmh15,nhsc_wmh14,nhsc_wmh13,nhsc_pcp19,nhsc_pcp18,nhsc_pcp17,nhsc_pcp16,nhsc_pcp15,nhsc_pcp14,nhsc_pcp13,nhsc_mhp19,nhsc_mhp18,nhsc_mhp17,nhsc_mhp16,nhsc_mhp15,nhsc_mhp14,nhsc_mhp13,popest18,popest17,popest16,popest15,popest14,popest13,popest12,popest11,popest10,popest09,popest08,popest07,popest06,popest05,popest00,pop6517,pop6516,pop6515,pop6514,pop6513,pop6512,pop6511,pop6510,infmort1317,infmort1216,infmort1115,infmort1014,infmort0913,infmort0812,infmort0711,infmort0610,infmort0509,infmort0408,infmort0307,infmort0206,infmort0105,infmort9600,sui1517,sui1416,sui1315,sui0810,povperc17,povperc16,povperc15,povperc14,povperc13,povperc12,povperc11,povperc10,pop65perc10,pop65perc11,pop65perc12,pop65perc13,pop65perc14,pop65perc15,pop65perc16,pop65perc17,pcp17,pcp15,pcp10,pcpratio17,pcpratio15,pcpratio10,pcp15weight,pcp17weight,pcp10weight
TX,Deaf Smith,48,117,06,0,3,4,6,6,6,4,7,5,6,10,15,9,10,8,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4273,3382,4658,4375,4736,0,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18760,18836,18830,18952,19195,19177,19360,19595,19372,18353,18501,18452,18623,18538,18561,2332,2341,2326,2276,2236,2220,2223,2224,NA,NA,NA,NA,NA,NA,NA,24.8,23.2,23.2,24.8,24.8,24.8,23.2,NaN,NaN,NaN,NaN,16.2,16.2,14.9,14.9,13.6,16.2,12.2,13.6,19.4,19.4,19.4,19.4,19.4,19.1,19.1,19.1,1,3,2,0.05308982798895732,0.15829463908822286,0.10324179227751394,2.8,0.5,1.5
TX,Delta,48,119,08,0,2,2,1,1,1,1,1,1,0,0,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5115,4220,4923,7435,6083,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5349,5298,5215,5217,5238,5238,5329,5212,5231,5410,5458,5375,5561,5480,5327,1084,1153,1157,1151,1144,1124,1073,1037,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,26,20.5,NaN,NaN,NaN,NaN,16.2,14.9,14.9,14.9,14.9,14.9,13.6,16.2,11.2,9.8,8.9,8.9,8.9,8,8,9.8,1,0,0,0.1887504718761797,0,0,0,2.8,0
TX,Denton,48,121,01,0,1464,1408,1362,1306,1247,1212,958,1011,795,530,216,135,69,32,6,5,7,195,180,139,187,181,115,111,113,88,78,83,71,36,38,25,19,19,14,5370,4907,4922,5693,6025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,859064,836210,806180,780612,753363,728799,707304,686406,662614,658616,636557,612357,584238,554642,432976,82286,76017,70965,65706,60255,55023,50520,46043,26,26,26,26,26,26,26,26,26,26,26,26,26,26,94,79,71,66,21.9,21,21.9,21,21,21,21,21,20.2,20.1,20.1,19.9,19.9,19.8,19.8,19.8,571,557,413,0.6828428265627056,0.7135427075166665,0.6232889736709456,21.9,20.7,19.1
TX,DeWitt,48,123,06,0,8,7,5,6,5,9,4,4,6,11,6,9,10,10,0,0,0,5,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5975,4274,4793,5036,5909,0,3,2,2,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20187,20226,20865,20797,20684,20503,20465,20255,20097,19713,19596,19730,20167,20507,20013,3947,4087,4034,4006,3875,3844,3704,3677,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,26,26,NaN,NaN,NaN,NaN,14.9,14.9,14.9,16.2,14.9,14.9,14.9,13.6,12.8,12.8,12.8,12.8,11.2,11.2,11.2,11.2,6,5,4,0.29664787896766537,0.2404192912439294,0.19903468179330247,4.1,5.7,2.8
TX,Dickens,48,125,08,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4978,6562,5124,6631,6783,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249,2209,2184,2206,2218,2291,2323,2402,2444,2439,2450,2511,2596,2646,2762,496,460,464,464,466,469,460,481,NA,NA,NA,NA,NA,NA,NA,25.6,25.6,25.6,25.6,19.5,26,17.5,NaN,NaN,NaN,NaN,13.6,13.6,12.2,12.2,12.2,10.9,12.2,13.6,11.2,11.2,9.8,9.8,9.8,8.9,8.9,8,0,0,0,0,0,0,0,0,0
TX,Dimmit,48,127,06,1,6,11,11,8,8,7,7,6,8,8,3,7,5,6,1,1,1,1,5,2,0,0,0,2,2,2,1,1,0,0,0,0,1,1,1,5547,7891,6851,7472,11685,0,1,2,3,4,4,4,4,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,10308,10418,10794,10980,11089,10897,10461,10118,9996,9772,9758,9845,10385,10395,10248,1677,1636,1614,1590,1548,1531,1479,1419,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,26,26,NaN,NaN,NaN,NaN,6.6,9.3,10.9,10.9,9.3,10.9,9.3,6.6,18.7,18.7,18.7,18.7,18.7,18.7,17.8,16.1,4,8,4,0.38395085429065084,0.7285974499089253,0.4001600640256102,21.9,9,10.7
TX,Donley,48,129,08,0,3,3,3,2,2,1,1,1,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,4573,3879,1996,2669,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1,0,0,0,0,0,0,0,0,3319,3311,3405,3499,3543,3522,3598,3651,3677,3664,3850,3911,3848,3889,3828,798,796,826,826,763,769,787,778,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,23.2,23.2,9.6,NaN,NaN,NaN,NaN,14.9,14.9,13.6,14.9,14.9,14.9,14.9,16.2,8.9,8.9,8.9,8.9,7,7,7,6.1,1,1,1,0.30202355783751134,0.2857959416976279,0.27196083763937995,5.7,7.3,5.7
TX,Duval,48,131,07,1,1,0,0,0,0,0,0,0,0,0,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,5157,6951,6642,8735,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.5,0,0,0,0,0,0,0,0,11212,11273,11428,11388,11533,11640,11717,11669,11782,12010,12033,12187,12437,12578,13120,2005,2051,2022,1979,1986,1961,1895,1891,NA,NA,NA,NA,NA,NA,NA,26,26,26,26,26,25.6,26,NaN,NaN,NaN,NaN,7.8,9.3,10.9,10.9,10.9,10.9,9.3,9.3,16.1,16.1,16.1,14.4,14.4,14.4,14.4,14.4,0,0,0,0,0,0,0,0,0
TX,Eastland,48,133,06,0,4,4,4,4,4,3,4,3,9,7,9,11,11,20,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5717,4542,5989,6080,7856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18322,18411,18274,18171,18176,18245,18421,18633,18583,18167,18186,18337,18293,18393,18297,4019,3938,3857,3841,3806,3760,3748,3689,NA,NA,NA,NA,NA,NA,NA,25.6,25.6,20.5,23.2,20.5,24,22.4,NaN,NaN,NaN,NaN,16.2,14.9,14.9,14.9,16.2,13.6,13.6,12.2,11.2,9.8,9.8,9.8,8.9,8.9,8.9,8.9,3,3,2,0.1629460648525338,0.1650982334489021,0.10762524888338805,2.8,2.8,1.5
TX,Ector,48,135,03,0,318,309,309,305,294,293,251,276,235,213,153,104,71,59,2,2,2,53,40,44,74,80,61,20,18,13,23,22,21,7,4,4,4,3,4,5093,4814,6453,6132,6553,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162124,157087,157462,159436,153904,149378,144325,140111,137130,134625,131941,129570,127462,125339,121123,15477,15437,14987,14751,14503,14367,14104,13954,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,23,22,13,18.7,18.7,18.7,18.7,17.4,17.4,17.4,14.9,19.6,19.6,19.8,19.8,19.8,19.8,19.8,19.8,170,160,139,1.0822028557423593,1.0035374695802703,1.013636695106833,27.2,27.7,27.2
